user_id,group,convert
2479,control,0
13205,control,0
12564,control,0
33470,control,0
21461,control,0
32520,treatment,0
26985,treatment,0
5941,control,0
4458,control,0
4813,control,0
5633,treatment,0
16719,control,0
12122,treatment,0
7232,control,1
36979,treatment,0
25609,control,0
22329,treatment,0
1821,control,1
32768,treatment,0
10373,control,0
47545,treatment,1
45692,control,0
4069,treatment,0
49095,control,0
17514,treatment,0
30638,treatment,0
19371,control,0
37921,control,0
31876,control,0
17132,treatment,0
45881,treatment,0
47554,treatment,0
14608,control,0
35184,control,0
11748,control,0
47028,control,0
9726,treatment,0
6737,control,0
12324,treatment,0
22786,treatment,0
34143,treatment,0
18588,treatment,1
41033,treatment,0
11925,control,0
49919,treatment,0
21602,treatment,0
45541,treatment,1
19272,control,0
40149,treatment,0
40805,treatment,0
47129,control,0
17616,treatment,0
32033,control,0
42030,treatment,0
45487,control,0
41125,treatment,0
27873,control,1
30368,treatment,0
38293,control,0
1735,control,0
15380,treatment,0
22028,treatment,0
41767,treatment,0
34771,control,0
30123,control,1
35248,treatment,0
46318,control,0
49214,treatment,0
9950,treatment,0
14655,treatment,0
7816,control,0
31945,treatment,0
37398,control,0
13397,treatment,0
14237,treatment,0
10857,control,0
25286,control,0
4360,control,0
44810,control,0
18286,treatment,0
40442,treatment,0
13109,control,0
15699,treatment,0
18525,treatment,1
46149,treatment,0
26792,treatment,0
5474,control,0
3958,control,0
32138,treatment,0
26393,treatment,0
6057,control,0
36169,treatment,0
43559,control,1
33327,control,0
11046,control,0
4566,treatment,0
16387,control,1
27756,treatment,0
24389,control,1
27243,control,0
7641,treatment,0
28643,control,0
22321,treatment,1
28877,control,0
30844,control,0
40001,treatment,0
1456,treatment,0
22165,treatment,0
11554,control,0
5855,control,0
29344,treatment,1
40025,control,0
17414,control,0
8133,treatment,0
23819,treatment,0
12313,control,0
21518,treatment,0
6381,treatment,0
2276,treatment,0
2704,treatment,1
7824,control,0
4268,control,0
47866,treatment,0
34295,treatment,0
28751,control,0
43974,control,0
18302,control,1
39707,treatment,0
13591,control,0
28638,treatment,0
17199,control,0
15009,treatment,0
40531,control,0
23996,control,0
32610,control,0
30741,treatment,0
28069,treatment,1
28276,control,0
24572,control,0
8429,treatment,0
24248,control,0
22338,treatment,0
26359,treatment,0
45606,treatment,0
19418,treatment,0
14062,treatment,0
24442,control,1
44388,control,0
13210,control,0
48061,treatment,0
11948,treatment,0
48331,control,0
23433,treatment,0
25361,treatment,0
6077,control,0
40381,control,1
20066,treatment,0
17449,treatment,0
33517,treatment,0
31828,control,0
6598,treatment,0
39592,control,0
16679,treatment,0
557,control,0
12933,treatment,1
27742,treatment,0
46385,control,0
27078,treatment,0
23917,control,0
24258,control,0
36615,treatment,1
38763,control,0
39788,treatment,1
40796,control,0
10800,treatment,0
41163,control,0
41519,control,0
17672,control,0
43687,control,0
5524,control,0
45368,control,0
43192,treatment,0
19565,control,0
44492,control,0
41235,control,0
32962,control,0
39545,treatment,0
30587,treatment,1
9972,control,0
24022,treatment,0
18714,control,0
3646,treatment,0
44500,treatment,0
1394,control,0
38819,control,0
43598,treatment,0
38112,treatment,0
14894,control,0
5577,control,0
19074,control,0
43344,treatment,0
15731,treatment,0
44721,treatment,0
22310,control,1
25759,treatment,0
31978,control,0
4867,treatment,1
44978,treatment,0
31370,control,0
21389,treatment,0
13096,treatment,1
9066,control,0
38566,treatment,0
7314,control,1
2487,treatment,0
29683,treatment,0
23369,control,0
14816,control,0
29988,control,0
2695,control,0
28124,control,0
26443,treatment,0
2223,control,0
806,treatment,0
34528,treatment,1
17226,treatment,0
12912,treatment,0
30061,control,0
20444,control,0
17586,treatment,0
40721,treatment,0
1583,control,0
671,treatment,0
18539,control,0
45022,control,0
19894,control,0
9919,control,0
24052,control,0
40651,treatment,0
13049,control,1
14452,control,0
29182,treatment,0
22598,treatment,1
15539,treatment,0
36227,treatment,1
6467,treatment,0
48364,control,0
16178,treatment,0
35629,treatment,0
40019,treatment,0
48638,treatment,1
3225,treatment,0
16844,treatment,0
8569,treatment,0
9084,control,1
21844,control,0
9532,treatment,0
26240,control,0
23470,treatment,0
5414,treatment,0
13467,treatment,0
35782,control,0
12988,control,0
18681,control,0
36211,treatment,0
7334,control,0
8873,treatment,0
18382,control,0
48399,control,0
5355,treatment,1
38834,treatment,0
42548,control,1
11981,control,0
28705,treatment,1
40534,treatment,0
3368,treatment,0
16626,control,0
4646,treatment,0
5294,control,0
9710,control,0
29743,treatment,0
9004,treatment,0
10551,treatment,0
19350,treatment,0
26606,treatment,0
35133,treatment,0
33891,control,0
12507,treatment,0
32334,control,0
12475,control,1
28127,treatment,1
48940,control,0
18407,treatment,0
36578,control,1
24746,treatment,0
21451,control,0
8017,treatment,0
8549,treatment,1
38521,treatment,0
22713,control,0
27830,control,0
42858,treatment,0
34226,control,1
15385,control,0
1952,control,1
18513,control,0
22696,control,0
22555,treatment,0
41503,control,0
8521,control,0
39675,treatment,0
33530,treatment,1
28710,control,0
11075,control,0
10233,control,0
8090,treatment,0
22969,treatment,1
17458,treatment,0
10995,treatment,0
22604,control,1
8388,control,0
5289,control,0
49382,control,0
47748,treatment,0
23989,treatment,0
49507,control,0
19381,control,0
36714,control,0
43239,control,0
17642,treatment,0
29102,control,0
37843,control,0
45960,treatment,0
46101,control,0
19703,control,0
258,control,0
33462,treatment,0
12284,treatment,1
15075,control,0
45416,control,0
30859,control,0
22216,treatment,0
21564,treatment,1
10175,treatment,1
8332,control,0
34150,treatment,0
34224,control,0
19687,treatment,0
37011,treatment,0
24284,treatment,1
12816,treatment,0
35083,treatment,0
13081,control,0
7796,control,0
22495,treatment,1
12234,treatment,0
15734,treatment,0
13269,treatment,0
42213,control,0
17367,control,0
39739,control,1
14468,control,0
46112,treatment,1
48472,control,0
35842,control,0
28146,treatment,1
6386,treatment,1
22175,control,0
1351,treatment,0
4257,control,1
9575,control,0
35945,treatment,0
48990,treatment,0
33835,control,0
26769,control,0
19664,control,0
44675,control,0
11918,control,0
9906,treatment,0
32025,treatment,0
28243,treatment,1
19590,treatment,0
36456,treatment,0
21623,control,0
7597,control,0
47537,control,0
4464,control,0
48116,control,0
19342,treatment,0
30317,control,0
47148,control,0
21236,treatment,0
13424,treatment,0
10062,control,0
35737,treatment,0
33268,treatment,0
23615,treatment,0
40088,control,0
23720,treatment,0
38895,control,0
8790,treatment,0
23503,treatment,0
13196,control,1
45696,control,0
10697,control,1
20755,treatment,1
13761,control,0
43388,treatment,0
21647,control,0
30735,control,1
28778,control,1
48244,treatment,0
37532,treatment,0
26182,treatment,0
11162,control,0
47299,treatment,0
20830,control,0
39457,control,0
29489,control,1
31200,control,0
6414,control,0
8192,treatment,0
7550,treatment,0
42417,control,0
19430,control,0
22416,control,0
6225,control,0
35285,treatment,0
16611,treatment,0
25077,treatment,0
14282,treatment,0
33872,treatment,1
36364,control,0
47658,control,0
46345,control,0
19117,control,0
44020,control,0
